62 63 64 66 67 69 71 72
0.0	2.0	0	oo
2.0	1.0	0	None
3.0	1.0	3	None
4.0	1.5	3	oo
6.0	0.25	7	ba
6.75	0.25	6	ba
7.5	0.5	5	ba
8.0	1.0	4	oo
9.0	1.0	6	None
10.0	2.0	4	None
12.0	1.0	4	oo
13.0	1.0	6	None
14.0	2.0	5	None
16.0	1.0	4	oo
17.0	1.0	3	None
18.0	1.0	4	None
19.0	1.0	3	None
20.0	1.0	4	oo
21.0	1.0	3	None
22.0	1.0	4	None
23.0	1.0	3	None
24.0	1.0	4	oo
25.0	1.0	6	None
26.0	2.0	4	None
28.0	1.0	4	oo
29.0	1.0	3	None
30.0	2.0	2	ah
32.0	2.0	2	ah
34.0	2.0	1	None
36.0	1.0	2	oo
37.0	1.0	0	None
38.0	1.0	2	None
39.0	1.0	0	None
40.0	1.0	2	oo
41.0	1.0	0	None
42.0	1.5	0	None
