66 67 68 69 71 72 74
0.5	0.5	4	oo
1.0	0.5	3	None
1.5	0.5	1	None
2.5	0.5	4	oo
3.0	0.5	3	None
3.5	0.5	1	None
4.0	1.5	6	oo
6.0	0.25	5	ba
6.75	0.25	4	ba
7.5	0.5	3	ba
8.0	1.0	4	oo
9.0	1.0	6	None
10.0	2.0	4	None
12.0	1.0	4	oo
13.0	1.0	6	None
14.0	2.0	5	None
16.0	1.0	5	oo
17.0	1.0	3	None
18.0	1.0	5	None
19.0	1.0	3	None
20.0	1.0	5	oo
21.0	1.0	3	None
22.0	1.0	5	None
23.0	1.0	3	None
24.0	1.0	4	oo
25.0	1.0	6	None
26.0	2.0	4	None
28.0	1.0	4	oo
29.0	1.0	3	None
30.0	2.0	2	ah
32.0	2.0	1	ah
34.0	2.0	3	None
36.0	1.0	1	oo
37.0	1.0	0	None
38.0	1.0	1	None
39.0	1.0	0	None
40.0	1.0	1	oo
41.0	1.0	0	None
42.0	1.5	1	None
